Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-01,AdTaxi,BetOnline,Display,Programmatic,6.2,2278.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-02,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-03,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-04,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-05,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-06,AdTaxi,BetOnline,Display,Programmatic,786.09,170194.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-07,AdTaxi,BetOnline,Display,Programmatic,999.3000000000001,199466.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-08,AdTaxi,BetOnline,Display,Programmatic,884.38,166730.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-09,AdTaxi,BetOnline,Display,Programmatic,1040.65,203551.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-10,AdTaxi,BetOnline,Display,Programmatic,1091.51,241858.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-11,AdTaxi,BetOnline,Display,Programmatic,858.14,214531.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-12,AdTaxi,BetOnline,Display,Programmatic,886.09,218053.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-13,AdTaxi,BetOnline,Display,Programmatic,1126.73,236665.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-14,AdTaxi,BetOnline,Display,Programmatic,840.21,160540.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-15,AdTaxi,BetOnline,Display,Programmatic,884.43,191471.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-16,AdTaxi,BetOnline,Display,Programmatic,1030.65,269500.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-17,AdTaxi,BetOnline,Display,Programmatic,755.7700000000001,195869.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-18,AdTaxi,BetOnline,Display,Programmatic,875.97,218834.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-19,AdTaxi,BetOnline,Display,Programmatic,764.89,190859.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-20,AdTaxi,BetOnline,Display,Programmatic,1056.93,224226.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-21,AdTaxi,BetOnline,Display,Programmatic,672.47,110686.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-22,AdTaxi,BetOnline,Display,Programmatic,850.0400000000001,126479.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-23,AdTaxi,BetOnline,Display,Programmatic,874.6899999999999,173518.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-24,AdTaxi,BetOnline,Display,Programmatic,582.65,136126.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-25,AdTaxi,BetOnline,Display,Programmatic,767.37,174068.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-26,AdTaxi,BetOnline,Display,Programmatic,640.51,143976.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-27,AdTaxi,BetOnline,Display,Programmatic,824.99,185773.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-28,AdTaxi,BetOnline,Display,Programmatic,464.72999999999996,97014.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-29,AdTaxi,BetOnline,Display,Programmatic,426.4,86546.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-09-30,AdTaxi,BetOnline,Display,Programmatic,9.860000000000001,2440.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-01,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-02,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-03,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-04,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-05,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-06,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-07,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-08,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-09,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
2024-10-10,AdTaxi,BetOnline,Display,Programmatic,0.0,0.0,daily,2026-04-03 15:00:52.994181,RAW_Friction_Digital_9.1.24_10.31.25_CSV_Table1_20260308_095037.csv
