Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-12-24,Atmosphere,BetOnline,DOOH,Atmosphere TV,1712.79,117458.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2024-12-25,Atmosphere,BetOnline,DOOH,Atmosphere TV,1704.49,115852.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2024-12-26,Atmosphere,BetOnline,DOOH,Atmosphere TV,1880.45,126968.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2024-12-27,Atmosphere,BetOnline,DOOH,Atmosphere TV,1645.2,112194.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2024-12-28,Atmosphere,BetOnline,DOOH,Atmosphere TV,1587.43,108371.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2024-12-29,Atmosphere,BetOnline,DOOH,Atmosphere TV,1149.04,78612.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2024-12-30,Atmosphere,BetOnline,DOOH,Atmosphere TV,1754.71,120077.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2024-12-31,Atmosphere,BetOnline,DOOH,Atmosphere TV,1631.61,110071.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-10,Atmosphere,BetOnline,DOOH,Atmosphere TV,1045.57,70304.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-11,Atmosphere,BetOnline,DOOH,Atmosphere TV,1097.31,74340.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-12,Atmosphere,BetOnline,DOOH,Atmosphere TV,568.29,40922.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-13,Atmosphere,BetOnline,DOOH,Atmosphere TV,997.24,69691.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-14,Atmosphere,BetOnline,DOOH,Atmosphere TV,1047.46,71932.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-15,Atmosphere,BetOnline,DOOH,Atmosphere TV,1074.65,73750.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-16,Atmosphere,BetOnline,DOOH,Atmosphere TV,1061.43,72877.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-17,Atmosphere,BetOnline,DOOH,Atmosphere TV,1093.53,74482.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-18,Atmosphere,BetOnline,DOOH,Atmosphere TV,1084.09,74435.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-19,Atmosphere,BetOnline,DOOH,Atmosphere TV,561.87,40498.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-26,Atmosphere,BetOnline,DOOH,Atmosphere TV,566.4,35400.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-27,Atmosphere,BetOnline,DOOH,Atmosphere TV,990.82,61926.4,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-28,Atmosphere,BetOnline,DOOH,Atmosphere TV,1161.5,72593.6,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-29,Atmosphere,BetOnline,DOOH,Atmosphere TV,1189.06,79272.4,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-30,Atmosphere,BetOnline,DOOH,Atmosphere TV,1182.27,80900.8,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-01-31,Atmosphere,BetOnline,DOOH,Atmosphere TV,1249.1,78068.8,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-02-01,Atmosphere,BetOnline,DOOH,Atmosphere TV,1239.66,85007.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-02-02,Atmosphere,BetOnline,DOOH,Atmosphere TV,581.5,36344.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-02-03,Atmosphere,BetOnline,DOOH,Atmosphere TV,1118.83,76913.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-02-04,Atmosphere,BetOnline,DOOH,Atmosphere TV,1161.5,72594.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-02-05,Atmosphere,BetOnline,DOOH,Atmosphere TV,1157.34,92583.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-02-06,Atmosphere,BetOnline,DOOH,Atmosphere TV,1171.32,73207.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
2025-02-07,Atmosphere,BetOnline,DOOH,Atmosphere TV,1966.16,122885.0,daily,2026-04-03 15:00:53.101540,RAW_Atmosphere_Utah_BetOnline_Football_Dec_24_Mar_25_Sheet1_Table1_20260123_195618.csv
