Date,Vendor,Brand,Channel,Platform,Spend
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,107.52
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,9.66
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.01
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,8.3
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,8.72
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,19.49
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,103.89
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.09
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.41
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.62
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.26
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,9.4
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.57
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.66
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,10.95
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,11.88
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.7
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,6.81
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.11
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.48
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.55
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.97
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.16
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,5.73
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,33.09
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.49
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.01
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.31
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.16
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,3.2
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.47
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,16.16
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.23
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,47.61
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,11.22
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.79
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.24
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.48
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.56
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.38
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.48
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,7.45
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.24
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.38
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.63
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.62
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.22
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.61
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.44
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.44
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.48
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,3.13
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,7.32
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.52
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,5.0
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.63
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.8
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.31
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,19.79
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,8.48
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,10.18
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.84
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.46
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.48
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,3.44
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,19.96
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,3.75
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.07
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,92.04
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,9.35
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,15.05
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.12
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,13.27
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.53
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,10.75
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.52
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,3.27
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,8.91
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,11.84
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.49
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,62.03
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.92
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,7.54
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.27
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,17.57
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,355.9
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.29
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.75
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.86
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.69
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.59
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.61
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,331.0
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,68.83
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.42
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.34
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.96
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.19
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.32
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.41
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.07
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.69
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,20.49
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.9
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.27
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,13.44
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,24.67
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,3.46
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.22
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,12.01
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,2.08
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,65.33
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,170.47
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,71.3
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.58
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.31
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,93.89
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.33
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,6.06
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.88
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,25.28
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,10.0
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,10.72
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,67.69
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.88
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,21.01
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.11
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,187.57
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,5.9
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.52
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.39
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,5.74
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.32
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,49.5
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,30.89
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,9.9
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.37
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.02
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,407.99
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.56
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.33
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.05
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,7.02
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,12.01
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.3
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.22
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.68
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,19.17
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,6.69
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.58
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.57
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.88
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.77
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,7.89
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,168.84
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,1.79
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,4.71
2024-09-01,Bleav,BetOnline,Podcast/Audio,Bleav Podcast,0.63
