Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-01,Loop,BetOnline,DOOH,Loop TV,1945.86,267296,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-02,Loop,BetOnline,DOOH,Loop TV,2048.18,281519,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-03,Loop,BetOnline,DOOH,Loop TV,1982.35,272330,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-04,Loop,BetOnline,DOOH,Loop TV,1919.48,263510,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-05,Loop,BetOnline,DOOH,Loop TV,1849.55,253967,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-06,Loop,BetOnline,DOOH,Loop TV,1888.28,258277,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-07,Loop,BetOnline,DOOH,Loop TV,1961.91,268336,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-08,Loop,BetOnline,DOOH,Loop TV,2023.42,276960,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-09,Loop,BetOnline,DOOH,Loop TV,1940.12,265997,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-10,Loop,BetOnline,DOOH,Loop TV,1977.89,271720,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-11,Loop,BetOnline,DOOH,Loop TV,1858.62,255251,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-12,Loop,BetOnline,DOOH,Loop TV,2034.66,278502,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-13,Loop,BetOnline,DOOH,Loop TV,2009.18,274970,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-14,Loop,BetOnline,DOOH,Loop TV,1886.43,258019,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-15,Loop,BetOnline,DOOH,Loop TV,1870.06,255745,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-16,Loop,BetOnline,DOOH,Loop TV,1883.47,257616,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-17,Loop,BetOnline,DOOH,Loop TV,1902.36,260204,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-18,Loop,BetOnline,DOOH,Loop TV,1931.25,264167,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-19,Loop,BetOnline,DOOH,Loop TV,1948.38,266534,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-20,Loop,BetOnline,DOOH,Loop TV,1890.54,258510,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-21,Loop,BetOnline,DOOH,Loop TV,1966.08,268977,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-22,Loop,BetOnline,DOOH,Loop TV,1873.94,256295,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-23,Loop,BetOnline,DOOH,Loop TV,1907.83,260932,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-24,Loop,BetOnline,DOOH,Loop TV,1934.2,264576,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-25,Loop,BetOnline,DOOH,Loop TV,1953.25,267201,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-26,Loop,BetOnline,DOOH,Loop TV,2015.67,275801,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-27,Loop,BetOnline,DOOH,Loop TV,1880.71,257238,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-28,Loop,BetOnline,DOOH,Loop TV,1940.92,266109,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-29,Loop,BetOnline,DOOH,Loop TV,1963.1,269251,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-09-30,Loop,BetOnline,DOOH,Loop TV,1878.1,256878,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-01,Loop,BetOnline,DOOH,Loop TV,1921.96,264732,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-02,Loop,BetOnline,DOOH,Loop TV,2034.1,280179,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-03,Loop,BetOnline,DOOH,Loop TV,1991.53,274315,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-04,Loop,BetOnline,DOOH,Loop TV,1965.58,270741,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-05,Loop,BetOnline,DOOH,Loop TV,1879.42,258874,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-06,Loop,BetOnline,DOOH,Loop TV,1879.42,258873,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-07,Loop,BetOnline,DOOH,Loop TV,1860.36,256248,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-08,Loop,BetOnline,DOOH,Loop TV,2017.65,277913,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-09,Loop,BetOnline,DOOH,Loop TV,1966.06,270806,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-10,Loop,BetOnline,DOOH,Loop TV,1986.87,273674,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-11,Loop,BetOnline,DOOH,Loop TV,1853.06,255243,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-12,Loop,BetOnline,DOOH,Loop TV,2037.84,280694,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-13,Loop,BetOnline,DOOH,Loop TV,2011.08,277008,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-14,Loop,BetOnline,DOOH,Loop TV,1890.38,260384,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-15,Loop,BetOnline,DOOH,Loop TV,1884.45,259566,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-16,Loop,BetOnline,DOOH,Loop TV,1884.75,259608,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-17,Loop,BetOnline,DOOH,Loop TV,1908.27,262847,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-18,Loop,BetOnline,DOOH,Loop TV,1951.19,268759,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-19,Loop,BetOnline,DOOH,Loop TV,1933.13,266271,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
2024-10-20,Loop,BetOnline,DOOH,Loop TV,1905.74,262499,daily,2026-04-03 15:00:55.029186,RAW_ALL_JOSH_-_lopopc_(2)_CSV_Table1_20260227_085117.csv
