Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-01,Octopus,BetOnline,Display,Octopus,1654.96,89752.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-02,Octopus,BetOnline,Display,Octopus,1634.16,88624.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-03,Octopus,BetOnline,Display,Octopus,1645.95,89264.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-04,Octopus,BetOnline,Display,Octopus,1665.87,90344.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-05,Octopus,BetOnline,Display,Octopus,1704.96,92464.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-06,Octopus,BetOnline,Display,Octopus,1709.23,92695.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-07,Octopus,BetOnline,Display,Octopus,1623.84,88064.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-08,Octopus,BetOnline,Display,Octopus,1674.23,90797.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-09,Octopus,BetOnline,Display,Octopus,1664.9,90291.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-10,Octopus,BetOnline,Display,Octopus,1645.37,89232.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-11,Octopus,BetOnline,Display,Octopus,1635.15,88678.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-12,Octopus,BetOnline,Display,Octopus,1656.92,89858.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-13,Octopus,BetOnline,Display,Octopus,1716.67,93099.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-14,Octopus,BetOnline,Display,Octopus,1655.48,89780.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-15,Octopus,BetOnline,Display,Octopus,1675.04,90841.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-16,Octopus,BetOnline,Display,Octopus,1693.46,91840.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-17,Octopus,BetOnline,Display,Octopus,1659.52,89999.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-18,Octopus,BetOnline,Display,Octopus,1716.67,93099.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-19,Octopus,BetOnline,Display,Octopus,1716.67,93099.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-20,Octopus,BetOnline,Display,Octopus,1648.34,89393.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-21,Octopus,BetOnline,Display,Octopus,1672.88,90724.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-22,Octopus,BetOnline,Display,Octopus,1653.25,89659.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-23,Octopus,BetOnline,Display,Octopus,1651.64,89572.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
2024-09-24,Octopus,BetOnline,Display,Octopus,1626.85,88228.0,daily,2026-04-03 15:00:54.486940,RAW_ALL_JOSH_-_octopuscs_(2)_CSV_Table1_20260301_134702.csv
