Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-01,PodcastOne,BetOnline,Audio,PodcastOne,3673.0,201572.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-02,PodcastOne,BetOnline,Audio,PodcastOne,3696.0,202856.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-03,PodcastOne,BetOnline,Audio,PodcastOne,3607.0,197903.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-04,PodcastOne,BetOnline,Audio,PodcastOne,3651.0,200411.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-05,PodcastOne,BetOnline,Audio,PodcastOne,3678.0,201819.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-06,PodcastOne,BetOnline,Audio,PodcastOne,3573.0,196111.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-07,PodcastOne,BetOnline,Audio,PodcastOne,3713.0,203782.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-08,PodcastOne,BetOnline,Audio,PodcastOne,3621.0,198684.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-09,PodcastOne,BetOnline,Audio,PodcastOne,3661.0,200957.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-10,PodcastOne,BetOnline,Audio,PodcastOne,3691.0,202568.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-11,PodcastOne,BetOnline,Audio,PodcastOne,3596.0,197245.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-12,PodcastOne,BetOnline,Audio,PodcastOne,3631.0,199365.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-13,PodcastOne,BetOnline,Audio,PodcastOne,3663.0,201043.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-14,PodcastOne,BetOnline,Audio,PodcastOne,3701.0,203097.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-15,PodcastOne,BetOnline,Audio,PodcastOne,3590.0,196945.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-16,PodcastOne,BetOnline,Audio,PodcastOne,3687.0,202372.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-17,PodcastOne,BetOnline,Audio,PodcastOne,3616.0,198412.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-18,PodcastOne,BetOnline,Audio,PodcastOne,3646.0,200122.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-19,PodcastOne,BetOnline,Audio,PodcastOne,3675.0,201638.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-20,PodcastOne,BetOnline,Audio,PodcastOne,3601.0,197485.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-21,PodcastOne,BetOnline,Audio,PodcastOne,3638.0,199782.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-22,PodcastOne,BetOnline,Audio,PodcastOne,3704.0,203221.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-23,PodcastOne,BetOnline,Audio,PodcastOne,3577.0,196317.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-24,PodcastOne,BetOnline,Audio,PodcastOne,3696.0,202885.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-25,PodcastOne,BetOnline,Audio,PodcastOne,3613.0,198157.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-26,PodcastOne,BetOnline,Audio,PodcastOne,3654.0,200543.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-27,PodcastOne,BetOnline,Audio,PodcastOne,3608.0,197967.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-28,PodcastOne,BetOnline,Audio,PodcastOne,3680.0,201926.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-29,PodcastOne,BetOnline,Audio,PodcastOne,3700.0,203019.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-09-30,PodcastOne,BetOnline,Audio,PodcastOne,3584.0,196645.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-01,PodcastOne,BetOnline,Audio,PodcastOne,3533.54,192686.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-02,PodcastOne,BetOnline,Audio,PodcastOne,3656.62,199398.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-03,PodcastOne,BetOnline,Audio,PodcastOne,3609.9,196850.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-04,PodcastOne,BetOnline,Audio,PodcastOne,3581.42,195297.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-05,PodcastOne,BetOnline,Audio,PodcastOne,3486.86,190140.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-06,PodcastOne,BetOnline,Audio,PodcastOne,3486.85,190140.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-07,PodcastOne,BetOnline,Audio,PodcastOne,3465.94,189000.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-08,PodcastOne,BetOnline,Audio,PodcastOne,3638.56,198413.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-09,PodcastOne,BetOnline,Audio,PodcastOne,3581.94,195325.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-10,PodcastOne,BetOnline,Audio,PodcastOne,3604.79,196571.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-11,PodcastOne,BetOnline,Audio,PodcastOne,3457.93,188563.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-12,PodcastOne,BetOnline,Audio,PodcastOne,3660.72,199621.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-13,PodcastOne,BetOnline,Audio,PodcastOne,3631.36,198020.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-14,PodcastOne,BetOnline,Audio,PodcastOne,3498.89,190796.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-15,PodcastOne,BetOnline,Audio,PodcastOne,3492.37,190441.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-16,PodcastOne,BetOnline,Audio,PodcastOne,3492.71,190459.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-17,PodcastOne,BetOnline,Audio,PodcastOne,3518.52,191867.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-18,PodcastOne,BetOnline,Audio,PodcastOne,3565.63,194436.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-19,PodcastOne,BetOnline,Audio,PodcastOne,3545.8,193355.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-20,PodcastOne,BetOnline,Audio,PodcastOne,3515.74,191715.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-21,PodcastOne,BetOnline,Audio,PodcastOne,3584.23,195450.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-22,PodcastOne,BetOnline,Audio,PodcastOne,3483.33,189948.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-23,PodcastOne,BetOnline,Audio,PodcastOne,3515.94,191726.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-24,PodcastOne,BetOnline,Audio,PodcastOne,3531.79,192591.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-25,PodcastOne,BetOnline,Audio,PodcastOne,3550.96,193636.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-26,PodcastOne,BetOnline,Audio,PodcastOne,3621.26,197469.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-27,PodcastOne,BetOnline,Audio,PodcastOne,3496.18,190649.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-28,PodcastOne,BetOnline,Audio,PodcastOne,3563.38,194313.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-29,PodcastOne,BetOnline,Audio,PodcastOne,3580.08,195224.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-30,PodcastOne,BetOnline,Audio,PodcastOne,3463.45,188864.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-10-31,PodcastOne,BetOnline,Audio,PodcastOne,3583.31,195400.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-01,PodcastOne,BetOnline,Audio,PodcastOne,3583.0,172192.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-02,PodcastOne,BetOnline,Audio,PodcastOne,3505.0,168634.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-03,PodcastOne,BetOnline,Audio,PodcastOne,3663.0,176042.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-04,PodcastOne,BetOnline,Audio,PodcastOne,3565.0,171301.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-05,PodcastOne,BetOnline,Audio,PodcastOne,3532.0,169932.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-06,PodcastOne,BetOnline,Audio,PodcastOne,3646.0,175229.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-07,PodcastOne,BetOnline,Audio,PodcastOne,3618.0,173845.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-08,PodcastOne,BetOnline,Audio,PodcastOne,3501.0,168441.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-09,PodcastOne,BetOnline,Audio,PodcastOne,3599.0,172984.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-10,PodcastOne,BetOnline,Audio,PodcastOne,3635.0,174611.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-11,PodcastOne,BetOnline,Audio,PodcastOne,3518.0,169247.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-12,PodcastOne,BetOnline,Audio,PodcastOne,3671.0,176409.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-13,PodcastOne,BetOnline,Audio,PodcastOne,3580.0,171998.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-14,PodcastOne,BetOnline,Audio,PodcastOne,3592.0,172672.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-15,PodcastOne,BetOnline,Audio,PodcastOne,3623.0,174030.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-16,PodcastOne,BetOnline,Audio,PodcastOne,3511.0,168981.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-17,PodcastOne,BetOnline,Audio,PodcastOne,3544.0,170642.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-18,PodcastOne,BetOnline,Audio,PodcastOne,3653.0,175576.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-19,PodcastOne,BetOnline,Audio,PodcastOne,3523.0,169499.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-20,PodcastOne,BetOnline,Audio,PodcastOne,3577.0,171845.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-21,PodcastOne,BetOnline,Audio,PodcastOne,3632.0,174448.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-22,PodcastOne,BetOnline,Audio,PodcastOne,3584.0,172215.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-23,PodcastOne,BetOnline,Audio,PodcastOne,3607.0,173401.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-24,PodcastOne,BetOnline,Audio,PodcastOne,3507.0,168722.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-25,PodcastOne,BetOnline,Audio,PodcastOne,3666.0,176201.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-26,PodcastOne,BetOnline,Audio,PodcastOne,3539.0,170395.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-27,PodcastOne,BetOnline,Audio,PodcastOne,3597.0,172894.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-28,PodcastOne,BetOnline,Audio,PodcastOne,3526.0,169657.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
2024-11-29,PodcastOne,BetOnline,Audio,PodcastOne,3660.0,175903.0,daily,2026-04-03 15:00:54.018133,RAW_ALL_JOSH_-_podcastone_(1)_CSV_Table1_20260227_082834.csv
