Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-08-15,RallyAdMedia,BetOnline,Display,RallyAd,1167.83539,203564,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-16,RallyAdMedia,BetOnline,Display,RallyAd,1370.535333222,237261,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-17,RallyAdMedia,BetOnline,Display,RallyAd,1353.113170926,233190,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-18,RallyAdMedia,BetOnline,Display,RallyAd,1523.991001204,262768,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-19,RallyAdMedia,BetOnline,Display,RallyAd,2367.759287352,407833,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-20,RallyAdMedia,BetOnline,Display,RallyAd,1684.196059148,288829,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-21,RallyAdMedia,BetOnline,Display,RallyAd,1875.602126593,309711,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-22,RallyAdMedia,BetOnline,Display,RallyAd,2310.949638519,380204,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-23,RallyAdMedia,BetOnline,Display,RallyAd,3037.784774037,509678,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-24,RallyAdMedia,BetOnline,Display,RallyAd,2645.273330704,431657,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-25,RallyAdMedia,BetOnline,Display,RallyAd,3207.715817148,523502,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-26,RallyAdMedia,BetOnline,Display,RallyAd,1863.611885667,382547,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-27,RallyAdMedia,BetOnline,Display,RallyAd,2943.495911574,553126,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-28,RallyAdMedia,BetOnline,Display,RallyAd,2631.561993944,495086,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-29,RallyAdMedia,BetOnline,Display,RallyAd,2541.675124685,448209,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-30,RallyAdMedia,BetOnline,Display,RallyAd,2567.712396056,451055,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-08-31,RallyAdMedia,BetOnline,Display,RallyAd,2594.727377926,444453,daily,2026-04-03 15:00:53.156835,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Aug-24_Table1_20260123_195618.csv
2024-09-01,RallyAdMedia,BetOnline,Display,RallyAd,2622.144920963,457711,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-02,RallyAdMedia,BetOnline,Display,RallyAd,2897.630700074,507605,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-03,RallyAdMedia,BetOnline,Display,RallyAd,2849.604830778,515980,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-04,RallyAdMedia,BetOnline,Display,RallyAd,2803.16597887,533326,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-05,RallyAdMedia,BetOnline,Display,RallyAd,2962.812378056,546567,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-06,RallyAdMedia,BetOnline,Display,RallyAd,2863.032923352,508777,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-07,RallyAdMedia,BetOnline,Display,RallyAd,4291.598471056,664486,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-08,RallyAdMedia,BetOnline,Display,RallyAd,4627.163489296,707316,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-09,RallyAdMedia,BetOnline,Display,RallyAd,2675.273948926,557886,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-10,RallyAdMedia,BetOnline,Display,RallyAd,2438.679765833,525632,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-11,RallyAdMedia,BetOnline,Display,RallyAd,2528.289663352,555651,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-12,RallyAdMedia,BetOnline,Display,RallyAd,2490.821283833,579254,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-13,RallyAdMedia,BetOnline,Display,RallyAd,2365.790604407,548142,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-14,RallyAdMedia,BetOnline,Display,RallyAd,1912.909487759,440989,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-15,RallyAdMedia,BetOnline,Display,RallyAd,2409.270580185,557266,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-16,RallyAdMedia,BetOnline,Display,RallyAd,3257.330039963,701819,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-17,RallyAdMedia,BetOnline,Display,RallyAd,2936.207302611,603106,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-18,RallyAdMedia,BetOnline,Display,RallyAd,2977.250650685,533519,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-19,RallyAdMedia,BetOnline,Display,RallyAd,3516.280495407,590582,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-20,RallyAdMedia,BetOnline,Display,RallyAd,3567.675596315,598175,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-21,RallyAdMedia,BetOnline,Display,RallyAd,3566.859352426,597920,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-22,RallyAdMedia,BetOnline,Display,RallyAd,3828.270304074,642455,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-23,RallyAdMedia,BetOnline,Display,RallyAd,4642.451937204,779312,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-24,RallyAdMedia,BetOnline,Display,RallyAd,4163.959148833,678181,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-25,RallyAdMedia,BetOnline,Display,RallyAd,5739.935536852,943303,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-26,RallyAdMedia,BetOnline,Display,RallyAd,8633.387016315,1408022,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-27,RallyAdMedia,BetOnline,Display,RallyAd,6850.425892944,1114770,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-28,RallyAdMedia,BetOnline,Display,RallyAd,9400.951922407,1495792,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-29,RallyAdMedia,BetOnline,Display,RallyAd,11036.027560833,1771824,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-09-30,RallyAdMedia,BetOnline,Display,RallyAd,7263.818240981,1177244,daily,2026-04-03 15:00:53.171088,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Sep-24_Table1_20260123_195618.csv
2024-10-01,RallyAdMedia,BetOnline,Display,RallyAd,3656.85089113,594242,daily,2026-04-03 15:00:53.133900,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Oct-24_Table1_20260123_195618.csv
2024-10-02,RallyAdMedia,BetOnline,Display,RallyAd,3935.872933037,641481,daily,2026-04-03 15:00:53.133900,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Oct-24_Table1_20260123_195618.csv
2024-10-03,RallyAdMedia,BetOnline,Display,RallyAd,2817.456827463,483176,daily,2026-04-03 15:00:53.133900,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Oct-24_Table1_20260123_195618.csv
2024-10-04,RallyAdMedia,BetOnline,Display,RallyAd,3164.23859063,540294,daily,2026-04-03 15:00:53.133900,RAW_RallAd_NFLseason_DailySpendandGeo_15Aug_9Feb_2025.07.25_(1)_Oct-24_Table1_20260123_195618.csv
