Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-01,Reach,BetOnline,DOOH,ReachTV,500.0,28850,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-02,Reach,BetOnline,DOOH,ReachTV,516.0,29756,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-03,Reach,BetOnline,DOOH,ReachTV,480.0,27713,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-04,Reach,BetOnline,DOOH,ReachTV,520.0,30029,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-05,Reach,BetOnline,DOOH,ReachTV,490.0,28290,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-06,Reach,BetOnline,DOOH,ReachTV,507.0,29244,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-07,Reach,BetOnline,DOOH,ReachTV,484.0,27903,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-08,Reach,BetOnline,DOOH,ReachTV,519.0,29932,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-09,Reach,BetOnline,DOOH,ReachTV,497.0,28667,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-10,Reach,BetOnline,DOOH,ReachTV,509.0,29346,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-11,Reach,BetOnline,DOOH,ReachTV,487.0,28090,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-12,Reach,BetOnline,DOOH,ReachTV,518.0,29886,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-13,Reach,BetOnline,DOOH,ReachTV,491.0,28317,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-14,Reach,BetOnline,DOOH,ReachTV,516.0,29771,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-15,Reach,BetOnline,DOOH,ReachTV,488.0,28174,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-16,Reach,BetOnline,DOOH,ReachTV,506.0,29086,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
2024-09-17,Reach,BetOnline,DOOH,ReachTV,485.0,27949,daily,2026-04-03 15:00:54.983665,RAW_RAW_ALL_JOSH_-_reachc_(2)_CSV_Table1_20260227_082834_CSV_Table1_20260308_095106.csv
