Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-13,Revvid,Unknown,ACC Network,Unknown,947.1526040763764,65098.0,daily,2026-04-03 15:00:52.691548,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260319_092754.csv
2024-09-13,Revvid,Unknown,Big 10 Network,Unknown,1125.473018153,77354.0,daily,2026-04-03 15:00:52.691548,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260319_092754.csv
2024-09-13,Revvid,Unknown,CBS Sports,Unknown,754.1807003640506,51835.0,daily,2026-04-03 15:00:52.691548,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260319_092754.csv
2024-09-13,Revvid,Unknown,ESPN,Unknown,731.4832586245325,50275.0,daily,2026-04-03 15:00:52.691548,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260319_092754.csv
2024-09-13,Revvid,Unknown,Fox Sports,Unknown,667.9158721117412,45906.0,daily,2026-04-03 15:00:52.691548,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260319_092754.csv
2024-09-13,Revvid,Unknown,RSN Live Games,Unknown,684.1678223829218,47023.0,daily,2026-04-03 15:00:52.691548,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260319_092754.csv
2024-09-13,Revvid,Unknown,SEC Network,Unknown,862.2845414695757,59265.0,daily,2026-04-03 15:00:52.691548,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260319_092754.csv
2024-09-13,Revvid,Unknown,USA Today,Unknown,102.34218281780132,7034.0,daily,2026-04-03 15:00:52.691548,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260319_092754.csv
2024-09-13,Revvid,Unknown,Revvid Daily,Unknown,5875.0,403790.0,daily,2026-04-03 15:00:52.611421,RAW_RevvidMedia_Sept_BOL_Delivery_Sept_Melted_20260327_152918.csv
2025-05-01,Revvid,Unknown,CBS Sports,Unknown,905.0922585857516,65432.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-01,Revvid,Unknown,Fox Sports,Unknown,274.6317047004755,19854.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-01,Revvid,Unknown,ESPN,Unknown,136.6103916400673,9876.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-01,Revvid,Unknown,SEC Network,Unknown,752.3116008635419,54387.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-01,Revvid,Unknown,Big 10 Network,Unknown,938.9405401109888,67879.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-01,Revvid,Unknown,Revvid Daily,Unknown,5222.0,377515.0,daily,2026-04-03 15:00:52.617735,RAW_Revvid_MAY_25_Sheet1_Melted_20260327_152918.csv
2025-05-01,Revvid,Unknown,SB Nation,Unknown,19.365588122326265,1400.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-01,Revvid,Unknown,RSN Live Games,Unknown,1348.0247566321868,97453.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-01,Revvid,Unknown,ACC Network,Unknown,847.0231593446617,61234.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,Big 10 Network,Unknown,899.1299782176734,66636.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,ACC Network,Unknown,771.8895121844082,57206.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,Fox Sports,Unknown,238.03277426223025,17641.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,RSN Live Games,Unknown,966.7037060962092,71644.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,SEC Network,Unknown,470.1555459663938,34844.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,ESPN,Unknown,792.5610279811168,58738.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,SB Nation,Unknown,19.07932332672715,1414.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,CBS Sports,Unknown,1064.4481319652414,78888.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-02,Revvid,Unknown,Revvid Daily,Unknown,5222.0,387011.0,daily,2026-04-03 15:00:52.617735,RAW_Revvid_MAY_25_Sheet1_Melted_20260327_152918.csv
2025-05-03,Revvid,Unknown,Revvid Daily,Unknown,5222.0,475136.0,daily,2026-04-03 15:00:52.617735,RAW_Revvid_MAY_25_Sheet1_Melted_20260327_152918.csv
2025-05-03,Revvid,Unknown,ACC Network,Unknown,658.0694201239224,59876.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-03,Revvid,Unknown,Big 10 Network,Unknown,695.1624840045797,63251.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-03,Revvid,Unknown,CBS Sports,Unknown,645.8479424838363,58764.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-03,Revvid,Unknown,ESPN,Unknown,831.3572240369073,75643.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-03,Revvid,Unknown,Fox Sports,Unknown,624.0866783405172,56784.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-03,Revvid,Unknown,RSN Live Games,Unknown,1039.408097891972,94573.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-03,Revvid,Unknown,SB Nation,Unknown,18.826790645204746,1713.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-03,Revvid,Unknown,SEC Network,Unknown,709.2413624730602,64532.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-04,Revvid,Unknown,ESPN,Unknown,870.0297206937205,65431.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-04,Revvid,Unknown,Fox Sports,Unknown,518.2468304632018,38975.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-04,Revvid,Unknown,RSN Live Games,Unknown,841.2286267929304,63265.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-04,Revvid,Unknown,SB Nation,Unknown,18.98797880439903,1428.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-04,Revvid,Unknown,SEC Network,Unknown,608.5062143037204,45763.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-04,Revvid,Unknown,Big 10 Network,Unknown,888.0204317037708,66784.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-04,Revvid,Unknown,CBS Sports,Unknown,662.757582316289,49843.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-04,Revvid,Unknown,Revvid Daily,Unknown,5222.0,392723.0,daily,2026-04-03 15:00:52.617735,RAW_Revvid_MAY_25_Sheet1_Melted_20260327_152918.csv
2025-05-04,Revvid,Unknown,ACC Network,Unknown,814.2226149219679,61234.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-08,Revvid,Unknown,SB Nation,Unknown,16.209923078235065,1456.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-08,Revvid,Unknown,Revvid Daily,Unknown,5222.0,469048.0,daily,2026-04-03 15:00:52.617735,RAW_Revvid_MAY_25_Sheet1_Melted_20260327_152918.csv
2025-05-08,Revvid,Unknown,ACC Network,Unknown,614.9305572137606,55234.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-08,Revvid,Unknown,Big 10 Network,Unknown,794.2973640224455,71345.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-08,Revvid,Unknown,CBS Sports,Unknown,899.1720037181695,80765.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-08,Revvid,Unknown,ESPN,Unknown,1015.7253585986936,91234.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-08,Revvid,Unknown,Fox Sports,Unknown,582.7779075915472,52346.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-08,Revvid,Unknown,RSN Live Games,Unknown,842.5708712114752,75681.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-08,Revvid,Unknown,SEC Network,Unknown,456.3160145656734,40987.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-09,Revvid,Unknown,SEC Network,Unknown,591.2695459365661,46980.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-09,Revvid,Unknown,SB Nation,Unknown,21.1185674346862,1678.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-09,Revvid,Unknown,Fox Sports,Unknown,616.3903210257399,48976.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-09,Revvid,Unknown,ESPN,Unknown,795.9736575725442,63245.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-09,Revvid,Unknown,CBS Sports,Unknown,766.4227658343777,60897.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-09,Revvid,Unknown,RSN Live Games,Unknown,914.831673575629,72689.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-09,Revvid,Unknown,ACC Network,Unknown,668.2176515954882,53094.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-09,Revvid,Unknown,Revvid Daily,Unknown,5222.0,414920.0,daily,2026-04-03 15:00:52.617735,RAW_Revvid_MAY_25_Sheet1_Melted_20260327_152918.csv
2025-05-09,Revvid,Unknown,Big 10 Network,Unknown,847.7758170249688,67361.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-10,Revvid,Unknown,Fox Sports,Unknown,476.7389914940921,32768.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-10,Revvid,Unknown,RSN Live Games,Unknown,1171.8136166964314,80543.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-10,Revvid,Unknown,SB Nation,Unknown,20.208449071816833,1389.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-10,Revvid,Unknown,SEC Network,Unknown,599.851947610517,41230.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-10,Revvid,Unknown,ESPN,Unknown,1025.0586665255053,70456.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-10,Revvid,Unknown,ACC Network,Unknown,519.0763470009222,35678.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-10,Revvid,Unknown,Big 10 Network,Unknown,741.8057543734519,50987.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
2025-05-10,Revvid,Unknown,Revvid Daily,Unknown,5222.0,358927.0,daily,2026-04-03 15:00:52.617735,RAW_Revvid_MAY_25_Sheet1_Melted_20260327_152918.csv
2025-05-10,Revvid,Unknown,CBS Sports,Unknown,667.4462272272635,45876.0,daily,2026-04-03 15:00:52.698469,RAW_Revvid_MAY_25_Sheet1_Melted_20260319_092754.csv
