Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-10,S2,BetOnline,CTV,S2 Network,742.0,13967,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-11,S2,BetOnline,CTV,S2 Network,1395.886320036,22324,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-12,S2,BetOnline,CTV,S2 Network,1465.5971287901998,25774,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-13,S2,BetOnline,CTV,S2 Network,1518.4435239714,36648,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-14,S2,BetOnline,CTV,S2 Network,2726.1550302885003,34103,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-15,S2,BetOnline,CTV,S2 Network,2754.9429966294,29949,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-16,S2,BetOnline,CTV,S2 Network,2573.7211454927997,28108,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-17,S2,BetOnline,CTV,S2 Network,2834.9789287392,29509,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-18,S2,BetOnline,CTV,S2 Network,2985.5658524502,32448,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-19,S2,BetOnline,CTV,S2 Network,2956.8302227977,28875,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-20,S2,BetOnline,CTV,S2 Network,3014.244583935,33828,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-21,S2,BetOnline,CTV,S2 Network,3054.6659772777,34627,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-22,S2,BetOnline,CTV,S2 Network,3094.3660025471995,38782,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-23,S2,BetOnline,CTV,S2 Network,2936.923129482,37992,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-24,S2,BetOnline,CTV,S2 Network,2825.3672997,38706,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-25,S2,BetOnline,CTV,S2 Network,3043.4783747157003,43553,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-26,S2,BetOnline,CTV,S2 Network,3006.7473533217,41079,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-27,S2,BetOnline,CTV,S2 Network,2973.2462378181,48675,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-28,S2,BetOnline,CTV,S2 Network,3119.6827128837,56246,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-29,S2,BetOnline,CTV,S2 Network,3145.5770708967,56686,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-09-30,S2,BetOnline,CTV,S2 Network,2701.5542775213,48381,daily,2026-04-03 15:00:52.487897,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table1_20260123_195615.csv
2024-10-01,S2,BetOnline,CTV,S2 Network,1777.6927482181018,31307,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-02,S2,BetOnline,CTV,S2 Network,1752.103022657266,31101,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-03,S2,BetOnline,CTV,S2 Network,1743.6598681164005,31094,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-04,S2,BetOnline,CTV,S2 Network,1755.978373206637,31266,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-05,S2,BetOnline,CTV,S2 Network,1785.366615881716,32108,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-06,S2,BetOnline,CTV,S2 Network,1789.2648352895385,32171,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-07,S2,BetOnline,CTV,S2 Network,1750.782865578943,31384,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-08,S2,BetOnline,CTV,S2 Network,1737.6534836373355,31197,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-09,S2,BetOnline,CTV,S2 Network,1702.7371343229936,30650,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-10,S2,BetOnline,CTV,S2 Network,1717.529816020957,30897,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-11,S2,BetOnline,CTV,S2 Network,1705.7836472790843,30598,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-12,S2,BetOnline,CTV,S2 Network,1788.101987738435,31999,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
2024-10-13,S2,BetOnline,CTV,S2 Network,1771.2524373751678,31755,daily,2026-04-03 15:00:52.478168,RAW_S2_Digiital_Bol_Daily_Sept_-_Jul_25_Sheet1_Table2_20260123_195615.csv
