Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-01,TVM,BetOnline,DOOH,TVM,2049.43,322237.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-02,TVM,BetOnline,DOOH,TVM,2010.67,316142.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-03,TVM,BetOnline,DOOH,TVM,2098.19,329904.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-04,TVM,BetOnline,DOOH,TVM,1979.07,311175.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-05,TVM,BetOnline,DOOH,TVM,2013.83,316640.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-06,TVM,BetOnline,DOOH,TVM,2069.4,325377.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-07,TVM,BetOnline,DOOH,TVM,2027.15,318734.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-08,TVM,BetOnline,DOOH,TVM,2075.87,326395.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-09,TVM,BetOnline,DOOH,TVM,2018.91,317438.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-10,TVM,BetOnline,DOOH,TVM,2044.39,321445.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-11,TVM,BetOnline,DOOH,TVM,1912.42,300694.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
2024-09-12,TVM,BetOnline,DOOH,TVM,1948.9,306430.0,daily,2026-04-03 15:00:54.905958,RAW_ALL_JOSH_-_tvmc_(2)_CSV_Table1_20260227_082834.csv
