Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2024-09-01,TAIV,Unknown,Unknown,Unknown,511.91,33572.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-02,TAIV,Unknown,Unknown,Unknown,515.21,33789.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-03,TAIV,Unknown,Unknown,Unknown,495.89,32521.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-04,TAIV,Unknown,Unknown,Unknown,497.2,32607.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-05,TAIV,Unknown,Unknown,Unknown,487.35,31961.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-06,TAIV,Unknown,Unknown,Unknown,504.3,33073.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-07,TAIV,Unknown,Unknown,Unknown,485.32,31828.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-08,TAIV,Unknown,Unknown,Unknown,500.35,32814.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-09,TAIV,Unknown,Unknown,Unknown,503.05,32991.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-10,TAIV,Unknown,Unknown,Unknown,494.09,32403.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-11,TAIV,Unknown,Unknown,Unknown,504.74,33102.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-12,TAIV,Unknown,Unknown,Unknown,485.1,31814.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-13,TAIV,Unknown,Unknown,Unknown,485.37,31832.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-14,TAIV,Unknown,Unknown,Unknown,512.85,33634.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
2024-09-15,TAIV,Unknown,Unknown,Unknown,496.66,32572.0,daily,2026-04-03 15:00:52.876270,RAW_ALL_JOSH_-_taivc_(1)_CSV_Table1_20260227_082834.csv
