Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2025-11-04 00:00:00,Whop,BetOnline,Influencer/Social,Instagram,21.59,43184.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 00:16:00,Whop,BetOnline,Influencer/Social,Instagram,102.49,204976.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 00:18:00,Whop,BetOnline,Influencer/Social,Instagram,101.29,202581.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 01:00:00,Whop,BetOnline,Influencer/Social,Instagram,86.03,43013.0,daily,2026-04-03 15:00:52.580322,RAW_Gambling_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 01:38:00,Whop,BetOnline,Influencer/Social,Instagram,187.15,374300.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 02:13:00,Whop,BetOnline,Influencer/Social,Instagram,300.0,1535740.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 02:56:00,Whop,BetOnline,Influencer/Social,Instagram,75.37,150732.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 03:21:00,Whop,BetOnline,Influencer/Social,Instagram,8.43,16858.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 03:51:00,Whop,BetOnline,Influencer/Social,Instagram,13.64,27284.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 03:52:00,Whop,BetOnline,Influencer/Social,Instagram,17.11,34233.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 04:00:00,Whop,BetOnline,Influencer/Social,Instagram,86.71,43353.0,daily,2026-04-03 15:00:52.580322,RAW_Gambling_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 04:08:00,Whop,BetOnline,Influencer/Social,Instagram,32.77,65547.0,daily,2026-04-03 15:00:52.585743,RAW_Watermark_Campaign_Videos_CSV_Table1_20260123_195615.csv
2025-11-04 04:13:00,Whop,BetOnline,Influencer/Social,Instagram,11.54,5771.0,daily,2026-04-03 15:00:52.580322,RAW_Gambling_Campaign_Videos_CSV_Table1_20260123_195615.csv
