,Date,Device Type,Campaign,Advertiser Currency Code,Bids,Impressions,Advertiser Cost (Adv Currency),Advertiser CPM (Adv Currency),Clicks,Sign Up Start,CPA Sign Up Start,Sportsbook Page View,CPA Sportsbook Pageview,Engaged Visit,CPA Engaged Visit,Site Visit,CPA Site Visit
0,2024-09-01 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-262268,USD,0,0,0.00,0.00,0,0,0.00,1,0.00,0,0.00,0,0
1,2024-09-01 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,5,0.00,12998,0.00,5832,0.00,8245,0
2,2024-09-01 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,67433,1873,5.17,2.76,1,19,0.27,4695,0.00,2035,0.00,2985,0.001731315
3,2024-09-01 00:00:00,Other,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,37,0,0.00,0.00,0,0,0.00,9,0.00,8,0.00,11,0
4,2024-09-01 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,1,0.00,6659,0.00,2322,0.00,3347,0
5,2024-09-01 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,24686,254,0.65,2.54,0,1,0.65,1205,0.00,550,0.00,762,0.000847522
6,2024-09-01 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,0,0.00,555,0.00,264,0.00,355,0
7,2024-09-01 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,4208,151,0.38,2.49,0,1,0.38,127,0.00,93,0.00,132,0.002845118
8,2024-09-02 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,2,0.00,11514,0.00,5334,0.00,6974,0
9,2024-09-02 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,12,0.00,4310,0.00,1867,0.00,2556,0
10,2024-09-02 00:00:00,Other,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,2,0.00,3,0.00,4,0
11,2024-09-02 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,3,0.00,6251,0.00,2051,0.00,2889,0
12,2024-09-02 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,925,0.00,468,0.00,623,0
13,2024-09-02 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,1,0.00,644,0.00,253,0.00,341,0
14,2024-09-02 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,195,0.00,98,0.00,124,0
15,2024-09-03 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,8,0.00,11076,0.00,5299,0.00,6889,0
16,2024-09-03 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,14,0.00,4213,0.00,1893,0.00,2568,0
17,2024-09-03 00:00:00,Other,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,0,0.00,1,0.00,0,0
18,2024-09-03 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,4,0.00,5503,0.00,1994,0.00,2788,0
19,2024-09-03 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,1,0.00,923,0.00,466,0.00,632,0
20,2024-09-03 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,1,0.00,475,0.00,198,0.00,275,0
21,2024-09-03 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,121,0.00,79,0.00,98,0
22,2024-09-04 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,9,0.00,12970,0.00,6310,0.00,8015,0
23,2024-09-04 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,20,0.00,4621,0.00,2122,0.00,2732,0
24,2024-09-04 00:00:00,Other,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,2,0.00,4,0.00,5,0
25,2024-09-04 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,7,0.00,6141,0.00,2375,0.00,3247,0
26,2024-09-04 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,2,0.00,1100,0.00,548,0.00,707,0
27,2024-09-04 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,0,0.00,549,0.00,282,0.00,342,0
28,2024-09-04 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,1,0.00,162,0.00,110,0.00,142,0
29,2024-09-05 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,3,0.00,14225,0.00,6479,0.00,8657,0
30,2024-09-05 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,29,0.00,5047,0.00,2350,0.00,3322,0
31,2024-09-05 00:00:00,Other,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,6,0.00,7,0.00,8,0
32,2024-09-05 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,6,0.00,6970,0.00,2522,0.00,3430,0
33,2024-09-05 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,6,0.00,1474,0.00,609,0.00,847,0
34,2024-09-05 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,0,0.00,647,0.00,272,0.00,358,0
35,2024-09-05 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,3,0.00,247,0.00,142,0.00,216,0
36,2024-09-06 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,17,0.00,14632,0.00,6546,0.00,9000,0
37,2024-09-06 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,19,0.00,5265,0.00,2366,0.00,3391,0
38,2024-09-06 00:00:00,Mobile,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,2532099,125704,590.83,4.70,59,3,196.94,477,1.24,222,2.66,317,1.863828861
39,2024-09-06 00:00:00,Other,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,8,0.00,7,0.00,9,0
40,2024-09-06 00:00:00,Other,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,1151,91,0.30,3.29,0,0,0.00,0,0.00,0,0.00,0,0
41,2024-09-06 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,4,0.00,6757,0.00,2492,0.00,3564,0
42,2024-09-06 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,1,0.00,1407,0.00,643,0.00,885,0
43,2024-09-06 00:00:00,PC,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,1067077,36719,160.32,4.37,12,0,0.00,350,0.46,162,0.99,235,0.682225479
44,2024-09-06 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,0,0.00,517,0.00,245,0.00,355,0
45,2024-09-06 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,1,0.00,224,0.00,138,0.00,202,0
46,2024-09-06 00:00:00,Tablet,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,174948,7680,34.64,4.51,3,0,0.00,18,1.92,9,3.85,15,2.309499528
47,2024-09-07 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,7,0.00,19175,0.00,7833,0.00,10188,0
48,2024-09-07 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,22,0.00,7006,0.00,2762,0.00,3885,0
49,2024-09-07 00:00:00,Mobile,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,4424687,170761,812.19,4.76,89,7,116.03,6721,0.12,2237,0.36,2889,0.281132687
50,2024-09-07 00:00:00,Other,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,9,0.00,7,0.00,8,0
51,2024-09-07 00:00:00,Other,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,2125,144,0.35,2.42,0,0,0.00,0,0.00,2,0.17,3,0.116371281
52,2024-09-07 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,6,0.00,8186,0.00,2884,0.00,3773,0
53,2024-09-07 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,3,0.00,1571,0.00,638,0.00,873,0
54,2024-09-07 00:00:00,PC,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,1277499,18083,142.11,7.86,6,3,47.37,2203,0.06,946,0.15,1206,0.117834406
55,2024-09-07 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,0,0.00,626,0.00,307,0.00,385,0
56,2024-09-07 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,335,0.00,163,0.00,227,0
57,2024-09-07 00:00:00,Tablet,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,300613,10478,44.65,4.26,3,1,44.65,259,0.17,94,0.48,113,0.395172772
58,2024-09-08 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,19,0.00,16191,0.00,6979,0.00,9625,0
59,2024-09-08 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,19,0.00,5902,0.00,2493,0.00,3827,0
60,2024-09-08 00:00:00,Mobile,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,3250473,141027,695.77,4.93,52,16,43.49,9451,0.07,3813,0.18,5197,0.133878625
61,2024-09-08 00:00:00,Other,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,0,0.00,5,0.00,3,0.00,3,0
62,2024-09-08 00:00:00,Other,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,1969,122,0.32,2.61,0,0,0.00,9,0.04,7,0.05,7,0.045521466
63,2024-09-08 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,4,0.00,7081,0.00,2624,0.00,3676,0
64,2024-09-08 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,3,0.00,1380,0.00,568,0.00,820,0
65,2024-09-08 00:00:00,PC,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,972986,17070,148.62,8.71,4,4,37.16,3596,0.04,1302,0.11,1687,0.088097243
66,2024-09-08 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,1,0.00,547,0.00,245,0.00,342,0
67,2024-09-08 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,3,0.00,232,0.00,141,0.00,231,0
68,2024-09-08 00:00:00,Tablet,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,232744,8511,39.67,4.66,3,0,0.00,496,0.08,139,0.29,184,0.215603127
69,2024-09-09 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,11,0.00,8414,0.00,4396,0.00,6044,0
70,2024-09-09 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,24,0.00,3202,0.00,1618,0.00,2301,0
71,2024-09-09 00:00:00,Mobile,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,3363173,164938,718.05,4.35,77,16,44.88,6580,0.11,3222,0.22,4452,0.161286711
72,2024-09-09 00:00:00,Other,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,2009,60,0.16,2.60,0,0,0.00,10,0.02,5,0.03,4,0.039060906
73,2024-09-09 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,0,0.00,5646,0.00,1871,0.00,2790,0
74,2024-09-09 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,1,0.00,712,0.00,306,0.00,465,0
75,2024-09-09 00:00:00,PC,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,1837646,31680,288.63,9.11,5,3,96.21,3044,0.09,1184,0.24,1620,0.178166187
76,2024-09-09 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,0,0.00,321,0.00,185,0.00,252,0
77,2024-09-09 00:00:00,Tablet,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,1,0.00,202,0.00,96,0.00,140,0
78,2024-09-09 00:00:00,Tablet,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,200025,6873,33.81,4.92,2,0,0.00,386,0.09,142,0.24,185,0.182752732
79,2024-09-10 00:00:00,Mobile,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,10,0.00,8691,0.00,4241,0.00,6089,0
80,2024-09-10 00:00:00,Mobile,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,17,0.00,2929,0.00,1388,0.00,2126,0
81,2024-09-10 00:00:00,Mobile,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,3046623,176063,799.52,4.54,71,16,49.97,7129,0.11,3455,0.23,4721,0.169354937
82,2024-09-10 00:00:00,Other,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,1497,74,0.26,3.57,0,0,0.00,3,0.09,3,0.09,2,0.132125262
83,2024-09-10 00:00:00,PC,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,3,0.00,5205,0.00,1657,0.00,2563,0
84,2024-09-10 00:00:00,PC,SCNG_Friction Digital_BOL_Aug-2024_Display_CLN-269609,USD,0,0,0.00,0.00,0,1,0.00,641,0.00,316,0.00,444,0
85,2024-09-10 00:00:00,PC,SCNG_Friction Digital_BOL_Sept-2024_Display_CLN-270991,USD,2466873,56860,249.20,4.38,7,1,249.20,3323,0.07,1367,0.18,1832,0.136024943
86,2024-09-10 00:00:00,Tablet,SCNG_Friction Digital_BOL_2024_Display_CLN-267295,USD,0,0,0.00,0.00,0,3,0.00,304,0.00,137,0.00,207,0
