Date,Vendor,Brand,Campaign,Marketing_Channel,Sub_Channel,Daily_Spend,Daily_Impressions,Spend_Type
2024-12-24,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1712.79,117458,Actual
2024-12-25,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1704.49,115852,Actual
2024-12-26,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1880.45,126968,Actual
2024-12-27,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1645.2,112194,Actual
2024-12-28,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1587.43,108371,Actual
2024-12-29,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1149.04,78612,Actual
2024-12-30,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1754.71,120077,Actual
2024-12-31,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1631.61,110071,Actual
2025-01-10,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1045.57,70304,Actual
2025-01-11,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1097.31,74340,Actual
2025-01-12,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,568.29,40922,Actual
2025-01-13,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,997.24,69691,Actual
2025-01-14,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1047.46,71932,Actual
2025-01-15,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1074.65,73750,Actual
2025-01-16,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1061.43,72877,Actual
2025-01-17,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1093.53,74482,Actual
2025-01-18,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1084.09,74435,Actual
2025-01-19,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,561.87,40498,Actual
2025-01-26,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,566.4,35400,Actual
2025-01-27,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,990.82,61926.4,Actual
2025-01-28,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1161.5,72593.6,Actual
2025-01-29,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1189.06,79272.4,Actual
2025-01-30,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1182.27,80900.8,Actual
2025-01-31,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1249.1,78068.8,Actual
2025-02-01,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1239.66,85007,Actual
2025-02-02,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,581.5,36344,Actual
2025-02-03,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1118.83,76913,Actual
2025-02-04,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1161.5,72594,Actual
2025-02-05,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1157.34,92583,Actual
2025-02-06,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1171.32,73207,Actual
2025-02-07,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1966.16,122885,Actual
2025-02-08,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1993.73,124608,Actual
2025-02-09,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1092.02,68251,Actual
2025-02-10,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1509.27,94329,Actual
2025-02-11,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1105.61,69101,Actual
2025-02-12,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1118.45,95839,Actual
2025-02-13,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1115.43,93975,Actual
2025-02-14,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1073.89,67118,Actual
2025-02-15,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1120.72,70045,Actual
2025-02-16,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,999.13,62446,Actual
2025-02-17,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1204.54,75284,Actual
2025-02-18,Atmosphere,BetOnline,Utah BetOnline Football,DOOH,Atmosphere TV,1102.97,68936,Actual
