Day,SPEND,impressions
1/09/2024,"$1.945,86",267.296
2/09/2024,"$2.048,18",281.519
3/09/2024,"$1.982,35",272.330
4/09/2024,"$1.919,48",263.510
5/09/2024,"$1.849,55",253.967
6/09/2024,"$1.888,28",258.277
7/09/2024,"$1.961,91",268.336
8/09/2024,"$2.023,42",276.960
9/09/2024,"$1.940,12",265.997
10/09/2024,"$1.977,89",271.720
11/09/2024,"$1.858,62",255.251
12/09/2024,"$2.034,66",278.502
13/09/2024,"$2.009,18",274.970
14/09/2024,"$1.886,43",258.019
15/09/2024,"$1.870,06",255.745
16/09/2024,"$1.883,47",257.616
17/09/2024,"$1.902,36",260.204
18/09/2024,"$1.931,25",264.167
19/09/2024,"$1.948,38",266.534
20/09/2024,"$1.890,54",258.510
21/09/2024,"$1.966,08",268.977
22/09/2024,"$1.873,94",256.295
23/09/2024,"$1.907,83",260.932
24/09/2024,"$1.934,20",264.576
25/09/2024,"$1.953,25",267.201
26/09/2024,"$2.015,67",275.801
27/09/2024,"$1.880,71",257.238
28/09/2024,"$1.940,92",266.109
29/09/2024,"$1.963,10",269.251
30/09/2024,"$1.878,10",256.878
1/10/2024,"$1.921,96",264.732
2/10/2024,"$2.034,10",280.179
3/10/2024,"$1.991,53",274.315
4/10/2024,"$1.965,58",270.741
5/10/2024,"$1.879,42",258.874
6/10/2024,"$1.879,42",258.873
7/10/2024,"$1.860,36",256.248
8/10/2024,"$2.017,65",277.913
9/10/2024,"$1.966,06",270.806
10/10/2024,"$1.986,87",273.674
11/10/2024,"$1.853,06",255.243
12/10/2024,"$2.037,84",280.694
13/10/2024,"$2.011,08",277.008
14/10/2024,"$1.890,38",260.384
15/10/2024,"$1.884,45",259.566
16/10/2024,"$1.884,75",259.608
17/10/2024,"$1.908,27",262.847
18/10/2024,"$1.951,19",268.759
19/10/2024,"$1.933,13",266.271
20/10/2024,"$1.905,74",262.499
21/10/2024,"$1.968,15",271.094
22/10/2024,"$1.876,21",258.431
23/10/2024,"$1.905,92",262.523
24/10/2024,"$1.920,36",264.513
25/10/2024,"$1.937,82",266.918
26/10/2024,"$2.001,88",275.741
27/10/2024,"$1.887,92",260.044
28/10/2024,"$1.949,14",268.477
29/10/2024,"$1.964,36",270.573
30/10/2024,"$1.858,10",255.936
31/10/2024,"$1.967,31",270.979
1/11/2024,"$1.695,49",281.637
2/11/2024,"$1.774,26",294.129
3/11/2024,"$1.707,41",282.996
4/11/2024,"$1.635,80",271.637
5/11/2024,"$1.558,01",258.467
6/11/2024,"$1.592,25",264.159
7/11/2024,"$1.655,01",274.786
8/11/2024,"$1.708,48",283.172
9/11/2024,"$1.678,74",278.225
10/11/2024,"$1.727,37",286.178
11/11/2024,"$1.601,99",265.999
12/11/2024,"$1.753,61",290.975
13/11/2024,"$1.701,46",282.003
14/11/2024,"$1.599,84",265.643
15/11/2024,"$1.582,18",262.699
16/11/2024,"$1.593,88",264.656
17/11/2024,"$1.609,42",267.224
18/11/2024,"$1.632,76",270.982
19/11/2024,"$1.647,81",273.499
20/11/2024,"$1.595,79",265.005
21/11/2024,"$1.660,46",275.603
22/11/2024,"$1.585,49",263.231
23/11/2024,"$1.615,71",268.298
24/11/2024,"$1.634,92",271.655
25/11/2024,"$1.648,44",273.602
26/11/2024,"$1.701,31",282.001
27/11/2024,"$1.586,93",263.469
28/11/2024,"$1.636,50",271.794
29/11/2024,"$1.658,11",275.215
30/11/2024,"$1.583,07",262.843
1/12/2024,"$1.638,20",297.228
2/12/2024,"$1.653,42",300.000
3/12/2024,"$1.581,99",287.181
4/12/2024,"$1.609,74",292.210
5/12/2024,"$1.651,11",299.582
6/12/2024,"$1.592,34",288.815
7/12/2024,"$1.678,16",304.491
8/12/2024,"$1.615,99",293.181
9/12/2024,"$1.579,38",286.714
10/12/2024,"$1.642,05",298.101
11/12/2024,"$1.593,27",288.982
12/12/2024,"$1.675,42",304.000
13/12/2024,"$1.602,58",290.318
14/12/2024,"$1.629,87",295.248
15/12/2024,"$1.643,98",298.445
16/12/2024,"$1.617,43",293.472
17/12/2024,"$1.652,57",299.856
18/12/2024,"$1.608,17",291.920
19/12/2024,"$1.599,26",290.350
20/12/2024,"$1.640,02",297.730
