Date,Vendor,Brand,Channel,Platform,Spend,Impressions,Data_Grain,Processed_At,Source_File
2026-02-01,Loop,BetOnline,DOOH,Loop TV,1890.7125,284516,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-02,Loop,BetOnline,DOOH,Loop TV,1273.545,194194,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-03,Loop,BetOnline,DOOH,Loop TV,837.9675,137800,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-04,Loop,BetOnline,DOOH,Loop TV,722.64,120787,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-05,Loop,BetOnline,DOOH,Loop TV,712.125,119484,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-06,Loop,BetOnline,DOOH,Loop TV,728.28,122256,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-07,Loop,BetOnline,DOOH,Loop TV,996.165,165957,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-08,Loop,BetOnline,DOOH,Loop TV,965.6475,160139,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-09,Loop,BetOnline,DOOH,Loop TV,434.2725,76843,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-10,Loop,BetOnline,DOOH,Loop TV,914.355,142720,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-11,Loop,BetOnline,DOOH,Loop TV,1258.5,186624,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-12,Loop,BetOnline,DOOH,Loop TV,1166.79,174752,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-13,Loop,BetOnline,DOOH,Loop TV,922.2075,142922,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-14,Loop,BetOnline,DOOH,Loop TV,948.375,153298,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-15,Loop,BetOnline,DOOH,Loop TV,530.9325,97172,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-16,Loop,BetOnline,DOOH,Loop TV,598.1175,100023,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-17,Loop,BetOnline,DOOH,Loop TV,579.12,96972,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-18,Loop,BetOnline,DOOH,Loop TV,477.855,82502,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-19,Loop,BetOnline,DOOH,Loop TV,419.3325,75262,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-20,Loop,BetOnline,DOOH,Loop TV,363.33,69244,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-21,Loop,BetOnline,DOOH,Loop TV,361.635,75047,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-22,Loop,BetOnline,DOOH,Loop TV,201.465,53500,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-23,Loop,BetOnline,DOOH,Loop TV,373.08,68890,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-24,Loop,BetOnline,DOOH,Loop TV,320.0025,62734,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-25,Loop,BetOnline,DOOH,Loop TV,287.9625,58396,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-26,Loop,BetOnline,DOOH,Loop TV,214.26,47535,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-27,Loop,BetOnline,DOOH,Loop TV,170.835,41955,daily,generated,LOOP FEB'26 FINAL.xlsx
2026-02-28,Loop,BetOnline,DOOH,Loop TV,136.3875,40907,daily,generated,LOOP FEB'26 FINAL.xlsx
