Day,Spend,Impressions
1/09/2024,"1.654,96",89.752
2/09/2024,"1.634,16",88.624
3/09/2024,"1.645,95",89.264
4/09/2024,"1.665,87",90.344
5/09/2024,"1.704,96",92.464
6/09/2024,"1.709,23",92.695
7/09/2024,"1.623,84",88.064
8/09/2024,"1.674,23",90.797
9/09/2024,"1.664,90",90.291
10/09/2024,"1.645,37",89.232
11/09/2024,"1.635,15",88.678
12/09/2024,"1.656,92",89.858
13/09/2024,"1.716,67",93.099
14/09/2024,"1.655,48",89.780
15/09/2024,"1.675,04",90.841
16/09/2024,"1.693,46",91.840
17/09/2024,"1.659,52",89.999
18/09/2024,"1.716,67",93.099
19/09/2024,"1.716,67",93.099
20/09/2024,"1.648,34",89.393
21/09/2024,"1.672,88",90.724
22/09/2024,"1.653,25",89.659
23/09/2024,"1.651,64",89.572
24/09/2024,"1.626,85",88.228
25/09/2024,"1.684,12",91.334
26/09/2024,"1.673,43",90.754
27/09/2024,"1.628,31",88.307
28/09/2024,"1.651,02",89.538
29/09/2024,"1.713,99",92.954
30/09/2024,"1.647,12",89.327
1/10/2024,"1.592,59",86.370
2/10/2024,"1.614,82",87.575
3/10/2024,"1.645,16",89.221
4/10/2024,"1.598,86",86.710
5/10/2024,"1.626,60",88.214
6/10/2024,"1.632,38",88.527
7/10/2024,"1.598,57",86.694
8/10/2024,"1.630,22",88.410
9/10/2024,"1.606,97",87.149
10/10/2024,"1.624,03",88.075
11/10/2024,"1.624,11",88.079
12/10/2024,"1.617,81",87.737
13/10/2024,"1.589,07",86.179
14/10/2024,"1.637,13",88.785
15/10/2024,"1.603,94",86.985
16/10/2024,"1.595,27",86.515
17/10/2024,"1.585,87",86.005
18/10/2024,"1.621,36",87.930
19/10/2024,"1.626,95",88.233
20/10/2024,"1.584,32",85.921
21/10/2024,"1.616,28",87.654
22/10/2024,"1.597,85",86.655
23/10/2024,"1.624,86",88.120
24/10/2024,"1.594,49",86.473
25/10/2024,"1.627,82",88.280
26/10/2024,"1.608,19",87.216
27/10/2024,"1.643,67",89.140
28/10/2024,"1.592,11",86.344
29/10/2024,"1.605,24",87.056
30/10/2024,"1.590,56",86.260
31/10/2024,"1.642,90",89.098
1/11/2024,"1.664,74",90.282
2/11/2024,"1.622,48",87.991
3/11/2024,"1.618,36",87.767
4/11/2024,"1.571,94",85.250
5/11/2024,"1.547,95",83.949
6/11/2024,"1.677,64",90.982
7/11/2024,"1.678,16",91.010
8/11/2024,"1.635,04",88.672
9/11/2024,"1.587,61",86.100
10/11/2024,"1.589,26",86.189
11/11/2024,"1.650,02",89.484
12/11/2024,"1.677,63",90.982
13/11/2024,"1.676,01",90.894
14/11/2024,"1.658,72",89.956
15/11/2024,"1.636,49",88.750
16/11/2024,"1.546,50",83.870
17/11/2024,"1.559,00",84.548
18/11/2024,"1.677,86",90.994
19/11/2024,"1.630,74",88.439
20/11/2024,"1.534,42",83.215
21/11/2024,"1.549,30",84.022
22/11/2024,"1.639,95",88.938
23/11/2024,"1.533,73",83.177
24/11/2024,"1.558,87",84.541
25/11/2024,"1.621,44",87.934
26/11/2024,"1.644,53",89.186
27/11/2024,"1.638,09",88.837
28/11/2024,"1.569,10",85.096
29/11/2024,"1.647,80",89.364
30/11/2024,"1.571,20",85.210
1/12/2024,"1.618,94",87.799
2/12/2024,"1.615,82",87.630
3/12/2024,"1.622,25",87.978
4/12/2024,"1.616,07",87.643
5/12/2024,"1.613,19",87.487
6/12/2024,"1.597,88",86.657
7/12/2024,"1.606,72",87.136
8/12/2024,"1.603,41",86.956
9/12/2024,"1.602,73",86.920
10/12/2024,"1.626,25",88.195
11/12/2024,"1.607,54",87.180
12/12/2024,"1.623,63",88.053
13/12/2024,"1.615,22",87.597
14/12/2024,"1.620,50",87.883
15/12/2024,"1.611,07",87.372
16/12/2024,"1.613,47",87.502
17/12/2024,"1.610,75",87.355
18/12/2024,"1.601,16",86.834
19/12/2024,"1.618,16",87.756
20/12/2024,"1.603,92",86.984
21/12/2024,"1.596,79",86.597
22/12/2024,"1.615,68",87.622
23/12/2024,"1.600,57",86.802
24/12/2024,"1.625,20",88.138
25/12/2024,"1.625,63",88.162
26/12/2024,"1.624,37",88.093
27/12/2024,"1.606,80",87.140
28/12/2024,"1.596,77",86.596
29/12/2024,"1.624,80",88.117
30/12/2024,"1.608,67",87.242
31/12/2024,"1.626,04",88.184
1/01/2025,"1.095,60",59.221
2/01/2025,"1.139,42",61.590
3/01/2025,"1.185,00",64.054
4/01/2025,"1.232,40",66.616
5/01/2025,"1.281,69",69.281
6/01/2025,"1.332,96",72.052
7/01/2025,"1.386,28",74.934
8/01/2025,"1.441,73",77.931
9/01/2025,"1.499,40",81.049
10/01/2025,"1.559,38",84.291
11/01/2025,"1.621,75",87.662
12/01/2025,"1.686,62",91.169
13/01/2025,"1.754,09",94.816
14/01/2025,"1.824,25",98.608
15/01/2025,"1.897,22",102.552
16/01/2025,"1.973,11",106.655
17/01/2025,"2.052,03",110.921
18/01/2025,"2.134,12",115.358
19/01/2025,"2.219,48",119.972
20/01/2025,"2.308,26",124.771
21/01/2025,"2.400,59",129.762
22/01/2025,"2.496,61",134.952
23/01/2025,"2.596,48",140.350
24/01/2025,"2.700,34",145.964
25/01/2025,"2.808,35",151.803
26/01/2025,"2.920,68",157.875
27/01/2025,"3.037,51",164.190
28/01/2025,"3.159,01",170.757
29/01/2025,"3.285,37",177.588
30/01/2025,"3.416,79",184.691
31/01/2025,"3.553,46",192.079
