day,spend,impressions
1-sept,"$3.673,00",201.572
2-sept,"$3.696,00",202.856
3-sept,"$3.607,00",197.903
4-sept,"$3.651,00",200.411
5-sept,"$3.678,00",201.819
6-sept,"$3.573,00",196.111
7-sept,"$3.713,00",203.782
8-sept,"$3.621,00",198.684
9-sept,"$3.661,00",200.957
10-sept,"$3.691,00",202.568
11-sept,"$3.596,00",197.245
12-sept,"$3.631,00",199.365
13-sept,"$3.663,00",201.043
14-sept,"$3.701,00",203.097
15-sept,"$3.590,00",196.945
16-sept,"$3.687,00",202.372
17-sept,"$3.616,00",198.412
18-sept,"$3.646,00",200.122
19-sept,"$3.675,00",201.638
20-sept,"$3.601,00",197.485
21-sept,"$3.638,00",199.782
22-sept,"$3.704,00",203.221
23-sept,"$3.577,00",196.317
24-sept,"$3.696,00",202.885
25-sept,"$3.613,00",198.157
26-sept,"$3.654,00",200.543
27-sept,"$3.608,00",197.967
28-sept,"$3.680,00",201.926
29-sept,"$3.700,00",203.019
30-sept,"$3.584,00",196.645
1-oct,"$3.533,54",192.686
2-oct,"$3.656,62",199.398
3-oct,"$3.609,90",196.850
4-oct,"$3.581,42",195.297
5-oct,"$3.486,86",190.140
6-oct,"$3.486,85",190.140
7-oct,"$3.465,94",189.000
8-oct,"$3.638,56",198.413
9-oct,"$3.581,94",195.325
10-oct,"$3.604,79",196.571
11-oct,"$3.457,93",188.563
12-oct,"$3.660,72",199.621
13-oct,"$3.631,36",198.020
14-oct,"$3.498,89",190.796
15-oct,"$3.492,37",190.441
16-oct,"$3.492,71",190.459
17-oct,"$3.518,52",191.867
18-oct,"$3.565,63",194.436
19-oct,"$3.545,80",193.355
20-oct,"$3.515,74",191.715
21-oct,"$3.584,23",195.450
22-oct,"$3.483,33",189.948
23-oct,"$3.515,94",191.726
24-oct,"$3.531,79",192.591
25-oct,"$3.550,96",193.636
26-oct,"$3.621,26",197.469
27-oct,"$3.496,18",190.649
28-oct,"$3.563,38",194.313
29-oct,"$3.580,08",195.224
30-oct,"$3.463,45",188.864
31-oct,"$3.583,31",195.400
1-nov,"$3.583,00",172.192
2-nov,"$3.505,00",168.634
3-nov,"$3.663,00",176.042
4-nov,"$3.565,00",171.301
5-nov,"$3.532,00",169.932
6-nov,"$3.646,00",175.229
7-nov,"$3.618,00",173.845
8-nov,"$3.501,00",168.441
9-nov,"$3.599,00",172.984
10-nov,"$3.635,00",174.611
11-nov,"$3.518,00",169.247
12-nov,"$3.671,00",176.409
13-nov,"$3.580,00",171.998
14-nov,"$3.592,00",172.672
15-nov,"$3.623,00",174.030
16-nov,"$3.511,00",168.981
17-nov,"$3.544,00",170.642
18-nov,"$3.653,00",175.576
19-nov,"$3.523,00",169.499
20-nov,"$3.577,00",171.845
21-nov,"$3.632,00",174.448
22-nov,"$3.584,00",172.215
23-nov,"$3.607,00",173.401
24-nov,"$3.507,00",168.722
25-nov,"$3.666,00",176.201
26-nov,"$3.539,00",170.395
27-nov,"$3.597,00",172.894
28-nov,"$3.526,00",169.657
29-nov,"$3.660,00",175.903
30-nov,"$3.572,00",171.556
1-dic,"$3.527,00",171.700
2-dic,"$3.726,00",181.563
3-dic,"$3.407,00",165.969
4-dic,"$3.629,00",176.961
5-dic,"$3.434,00",167.274
6-dic,"$3.675,00",179.082
7-dic,"$3.578,00",174.478
8-dic,"$3.389,00",165.063
9-dic,"$3.720,00",181.257
10-dic,"$3.532,00",171.940
11-dic,"$3.661,00",178.406
12-dic,"$3.386,00",164.932
13-dic,"$3.606,00",175.803
14-dic,"$3.494,00",170.356
15-dic,"$3.672,00",178.935
16-dic,"$3.398,00",165.481
17-dic,"$3.749,00",182.624
18-dic,"$3.488,00",169.933
19-dic,"$3.537,00",172.401
20-dic,"$3.702,00",180.572
21-dic,"$3.443,00",167.739
22-dic,"$3.594,00",175.220
23-dic,"$3.488,00",170.056
24-dic,"$3.743,00",182.311
25-dic,"$3.463,00",168.875
26-dic,"$3.570,00",174.092
27-dic,"$3.717,00",181.115
28-dic,"$3.418,00",166.483
29-dic,"$3.658,00",178.251
30-dic,"$3.549,00",172.990
31-dic,"$3.478,00",169.424
1-ene,"$3.468,00",165.880
2-ene,"$3.416,00",163.336
3-ene,"$3.483,00",166.817
4-ene,"$3.396,00",162.365
5-ene,"$3.466,00",166.036
6-ene,"$3.442,00",164.923
7-ene,"$3.402,00",162.634
8-ene,"$3.470,00",166.230
9-ene,"$3.427,00",163.838
10-ene,"$3.446,00",165.129
11-ene,"$3.392,00",162.179
12-ene,"$3.488,00",167.061
13-ene,"$3.430,00",163.993
14-ene,"$3.458,00",165.649
15-ene,"$3.431,00",164.047
16-ene,"$3.401,00",162.585
17-ene,"$3.482,00",166.758
18-ene,"$3.444,00",165.006
19-ene,"$3.419,00",163.007
20-ene,"$3.441,00",164.883
21-ene,"$3.417,00",162.921
22-ene,"$3.474,00",166.401
23-ene,"$3.449,00",165.268
24-ene,"$3.402,00",162.666
25-ene,"$3.432,00",164.101
26-ene,"$3.469,00",166.155
27-ene,"$3.423,00",163.492
28-ene,"$3.461,00",165.775
29-ene,"$3.416,00",162.839
30-ene,"$3.487,00",167.020
31-ene,"$3.438,00",164.614
