date,impressions,spend,spots,cpm
09/01/2025,45023,643.37867,1763,14.29
09/02/2025,55419,791.93751,2062,14.29
09/03/2025,57837,826.49073,2126,14.29
09/04/2025,58400,834.536,2131,14.29
09/05/2025,28069,401.10601,1041,14.29
09/06/2025,28918,413.23822,1062,14.29
09/07/2025,28929,413.39541,1065,14.29
09/08/2025,29163,416.73927,1070,14.29
09/09/2025,28436,406.35044,1054,14.29
09/10/2025,29783,425.59907,1081,14.29
09/11/2025,36916,527.52964,1071,14.29
09/12/2025,68250,975.2925,2013,14.29
09/13/2025,72052,1029.62308,2106,14.29
09/14/2025,71872,1027.05088,2102,14.29
09/15/2025,72568,1036.99672,2121,14.29
09/16/2025,72666,1038.39714,2121,14.29
09/17/2025,72828,1040.71212,2122,14.29
09/18/2025,72536,1036.53944,2114,14.29
09/19/2025,72968,1042.71272,2123,14.29
09/20/2025,71938,1027.99402,2103,14.29
09/21/2025,72132,1030.76628,2104,14.29
09/22/2025,72052,1029.62308,2103,14.29
09/23/2025,11846,169.27934,409,14.29
09/24/2025,11574,165.39246,402,14.29
09/25/2025,72250,1032.4525,2103,14.29
09/26/2025,69944,999.49976,2051,14.29
09/27/2025,211760,3026.0504,6187,14.29
09/28/2025,146808,2097.88632,4255,14.29
09/29/2025,181830,2598.3507,5275,14.29
2025-09-30 00:00:00,0,0,0,0
TOTALS,1924767,27504.920430000002,59340,14.29
