date,airport_code,airport_name,dma,screen_type,cpm,impressions,spend
2025-05-07 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,"Atlanta, Georgia",Restaurant/Bar/Newsstand,18.5,4485,82.9725
2025-05-07 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,"Atlanta, Georgia",Gate,18.5,5248,97.088
2025-05-07 00:00:00,AUS,Austin-Bergstrom International Airport,"Austin, Texas",Restaurant/Bar/Newsstand,18.5,774,14.319
2025-05-07 00:00:00,BHM,Birmingham-Shuttlesworth International Airport,"Birmingham (Anniston and Tuscaloosa), Alabama",Gate,18.5,276,5.106
2025-05-07 00:00:00,DAL,Dallas Love Field,"Dallas-Fort Worth, Texas",Restaurant/Bar/Newsstand,18.5,344,6.364
2025-05-07 00:00:00,DAL,Dallas Love Field,"Dallas-Fort Worth, Texas",Gate,18.5,344,6.364
2025-05-07 00:00:00,DFW,DFW International Airport,"Dallas-Fort Worth, Texas",Restaurant/Bar/Newsstand,18.5,258,4.773
2025-05-07 00:00:00,FLL,Fort Lauderdale-Hollywood International Airport,"Miami-Fort Lauderdale, Florida",Restaurant/Bar/Newsstand,18.5,258,4.773
2025-05-07 00:00:00,GSP,GSP International Airport,Greenville-Spartanburg-Asheville-Anderson,Gate,18.5,252,4.662
2025-05-07 00:00:00,HNL,Honolulu International Airport,"Honolulu, Hawaii",Restaurant/Bar/Newsstand,18.5,817,15.1145
2025-05-07 00:00:00,IAH,George Bush Intercontinental Airport,"Houston, Texas",Restaurant/Bar/Newsstand,18.5,2096,38.776
2025-05-07 00:00:00,JAN,Jackson-Medgar Wiley Evers International Airport,"Jackson, Mississippi",Restaurant/Bar/Newsstand,18.5,128,2.368
2025-05-07 00:00:00,LAX,Los Angeles International Airport,"Los Angeles, California",Restaurant/Bar/Newsstand,18.5,1419,26.2515
2025-05-07 00:00:00,MCO,Orlando International Airport,"Orlando-Daytona Beach-Melbourne, Florida",Restaurant/Bar/Newsstand,18.5,258,4.773
2025-05-07 00:00:00,MIA,Miami International Airport,"Miami-Fort Lauderdale, Florida",Restaurant/Bar/Newsstand,18.5,1075,19.8875
2025-05-07 00:00:00,MIA,Miami International Airport,"Miami-Fort Lauderdale, Florida",Gate,18.5,4002,74.037
2025-05-07 00:00:00,MKE,Milwaukee Mitchell International Airport,"Milwaukee, Wisconsin",Restaurant/Bar/Newsstand,18.5,430,7.955
2025-05-07 00:00:00,MKE,Milwaukee Mitchell International Airport,"Milwaukee, Wisconsin",Gate,18.5,598,11.063
2025-05-07 00:00:00,MSP,Minneapolis-St. Paul International Airport,"Minneapolis-St. Paul, Minnesota",Restaurant/Bar/Newsstand,18.5,2272,42.032
2025-05-07 00:00:00,MSP,Minneapolis-St. Paul International Airport,"Minneapolis-St. Paul, Minnesota",Gate,18.5,2910,53.835
2025-05-07 00:00:00,OGG,Kahului Airport,"Honolulu, Hawaii",Restaurant/Bar/Newsstand,18.5,468,8.658
