date,impressions,spend,cpm
2025-05-07 00:00:00,36759,680.0415,18.5
2025-05-08 00:00:00,36718,679.283,18.5
2025-05-09 00:00:00,37528,694.268,18.5
2025-05-10 00:00:00,38223,707.1255,18.5
2025-05-11 00:00:00,36759,680.0415,18.5
2025-05-12 00:00:00,43885,811.87,18.5
2025-05-13 00:00:00,47712,882.67,18.5
2025-05-14 00:00:00,353,6.53,18.5
2025-05-15 00:00:00,142,2.63,18.5
2025-05-16 00:00:00,66710,1234.14,18.5
2025-05-17 00:00:00,68935,1275.3,18.5
2025-05-18 00:00:00,16887,312.41,18.5
2025-05-19 00:00:00,46368,857.808,18.5
2025-05-20 00:00:00,34257,633.7545,18.5
2025-05-21 00:00:00,47243,873.9955,18.5
2025-05-22 00:00:00,47511,878.9535,18.5
2025-05-23 00:00:00,47456,877.936,18.5
2025-05-24 00:00:00,18092,334.702,18.5
2025-05-25 00:00:00,12600,233.1,18.5
2025-05-26 00:00:00,23881,441.7985,18.5
2025-05-27 00:00:00,23918,442.483,18.5
