day,spend,impressions
1/09/2024,"$511,91 ",33.572
2/09/2024,"$515,21 ",33.789
3/09/2024,"$495,89 ",32.521
4/09/2024,"$497,20 ",32.607
5/09/2024,"$487,35 ",31.961
6/09/2024,"$504,30 ",33.073
7/09/2024,"$485,32 ",31.828
8/09/2024,"$500,35 ",32.814
9/09/2024,"$503,05 ",32.991
10/09/2024,"$494,09 ",32.403
11/09/2024,"$504,74 ",33.102
12/09/2024,"$485,10 ",31.814
13/09/2024,"$485,37 ",31.832
14/09/2024,"$512,85 ",33.634
15/09/2024,"$496,66 ",32.572
16/09/2024,"$488,51 ",32.038
17/09/2024,"$502,34 ",32.944
18/09/2024,"$511,01 ",33.513
19/09/2024,"$491,61 ",32.241
20/09/2024,"$505,86 ",33.175
21/09/2024,"$487,05 ",31.942
22/09/2024,"$485,87 ",31.864
23/09/2024,"$502,66 ",32.965
24/09/2024,"$502,98 ",32.986
25/09/2024,"$506,37 ",33.209
26/09/2024,"$509,47 ",33.412
27/09/2024,"$517,50 ",33.939
28/09/2024,"$502,13 ",32.931
29/09/2024,"$495,36 ",32.487
30/09/2024,"$511,89 ",33.571
1/10/2024,"$497,38 ",32.619
2/10/2024,"$499,90 ",32.785
3/10/2024,"$494,49 ",32.430
4/10/2024,"$493,70 ",32.378
5/10/2024,"$507,50 ",33.283
6/10/2024,"$505,86 ",33.175
7/10/2024,"$503,76 ",33.038
8/10/2024,"$499,45 ",32.755
9/10/2024,"$495,92 ",32.524
10/10/2024,"$495,66 ",32.506
11/10/2024,"$497,07 ",32.599
12/10/2024,"$501,56 ",32.893
13/10/2024,"$504,04 ",33.056
14/10/2024,"$503,22 ",33.002
15/10/2024,"$497,52 ",32.628
16/10/2024,"$507,50 ",33.283
17/10/2024,"$504,39 ",33.079
18/10/2024,"$501,63 ",32.898
19/10/2024,"$502,49 ",32.954
20/10/2024,"$499,61 ",32.765
21/10/2024,"$497,03 ",32.596
22/10/2024,"$498,66 ",32.703
23/10/2024,"$504,69 ",33.099
24/10/2024,"$493,52 ",32.366
25/10/2024,"$495,06 ",32.467
26/10/2024,"$494,01 ",32.398
27/10/2024,"$493,93 ",32.393
28/10/2024,"$506,15 ",33.194
29/10/2024,"$503,87 ",33.045
30/10/2024,"$500,43 ",32.819
31/10/2024,"$483,87",31.733
