day,spend,impressions
1-sept,"$511,91 ",33.572
2-sept,"$515,21 ",33.789
3-sept,"$495,89 ",32.521
4-sept,"$497,20 ",32.607
5-sept,"$487,35 ",31.961
6-sept,"$504,30 ",33.073
7-sept,"$485,32 ",31.828
8-sept,"$500,35 ",32.814
9-sept,"$503,05 ",32.991
10-sept,"$494,09 ",32.403
11-sept,"$504,74 ",33.102
12-sept,"$485,10 ",31.814
13-sept,"$485,37 ",31.832
14-sept,"$512,85 ",33.634
15-sept,"$496,66 ",32.572
16-sept,"$488,51 ",32.038
17-sept,"$502,34 ",32.944
18-sept,"$511,01 ",33.513
19-sept,"$491,61 ",32.241
20-sept,"$505,86 ",33.175
21-sept,"$487,05 ",31.942
22-sept,"$485,87 ",31.864
23-sept,"$502,66 ",32.965
24-sept,"$502,98 ",32.986
25-sept,"$506,37 ",33.209
26-sept,"$509,47 ",33.412
27-sept,"$517,50 ",33.939
28-sept,"$502,13 ",32.931
29-sept,"$495,36 ",32.487
30-sept,"$511,89 ",33.571
1-oct,"$497,38 ",32.619
2-oct,"$499,90 ",32.785
3-oct,"$494,49 ",32.430
4-oct,"$493,70 ",32.378
5-oct,"$507,50 ",33.283
6-oct,"$505,86 ",33.175
7-oct,"$503,76 ",33.038
8-oct,"$499,45 ",32.755
9-oct,"$495,92 ",32.524
10-oct,"$495,66 ",32.506
11-oct,"$497,07 ",32.599
12-oct,"$501,56 ",32.893
13-oct,"$504,04 ",33.056
14-oct,"$503,22 ",33.002
15-oct,"$497,52 ",32.628
16-oct,"$507,50 ",33.283
17-oct,"$504,39 ",33.079
18-oct,"$501,63 ",32.898
19-oct,"$502,49 ",32.954
20-oct,"$499,61 ",32.765
21-oct,"$497,03 ",32.596
22-oct,"$498,66 ",32.703
23-oct,"$504,69 ",33.099
24-oct,"$493,52 ",32.366
25-oct,"$495,06 ",32.467
26-oct,"$494,01 ",32.398
27-oct,"$493,93 ",32.393
28-oct,"$506,15 ",33.194
29-oct,"$503,87 ",33.045
30-oct,"$500,43 ",32.819
31-oct,"$483,87",31.733
1-nov,"$968,33 ",161.840
2-nov,"$999,83 ",167.105
3-nov,"$998,38 ",166.862
4-nov,"$974,36 ",162.848
5-nov,"$995,21 ",166.332
6-nov,"$992,38 ",165.859
7-nov,"$1.009,77 ",168.766
8-nov,"$1.011,31 ",169.023
9-nov,"$964,12 ",161.136
10-nov,"$990,47 ",165.540
11-nov,"$1.010,57 ",168.900
12-nov,"$1.000,75 ",167.258
13-nov,"$1.029,02 ",171.983
14-nov,"$1.013,20 ",169.339
15-nov,"$973,53 ",162.709
16-nov,"$966,15 ",161.476
17-nov,"$1.011,89 ",169.120
18-nov,"$962,60 ",160.882
19-nov,"$1.007,36 ",168.363
20-nov,"$1.035,72 ",173.103
21-nov,"$1.006,54 ",168.226
22-nov,"$991,55 ",165.721
23-nov,"$1.011,96 ",169.132
24-nov,"$997,16 ",166.658
25-nov,"$1.004,15 ",167.827
26-nov,"$1.035,82 ",173.120
27-nov,"$991,39 ",165.694
28-nov,"$1.037,39 ",173.382
29-nov,"$1.032,93 ",172.637
30-nov,"$976,16 ",163.149
1-dic,"$944,28 ",157.820
2-dic,"$945,96 ",158.101
3-dic,"$941,56 ",157.366
4-dic,"$945,62 ",158.044
5-dic,"$976,94 ",163.279
6-dic,"$944,38 ",157.837
7-dic,"$957,57 ",160.042
8-dic,"$985,56 ",164.720
9-dic,"$941,83 ",157.411
10-dic,"$983,94 ",164.449
11-dic,"$955,59 ",159.711
12-dic,"$946,88 ",158.255
13-dic,"$977,68 ",163.403
14-dic,"$974,07 ",162.799
15-dic,"$987,30 ",165.010
16-dic,"$979,72 ",163.743
17-dic,"$983,36 ",164.352
18-dic,"$955,60 ",159.712
19-dic,"$950,04 ",158.783
20-dic,"$980,54 ",163.881
21-dic,"$983,54 ",164.382
22-dic,"$993,31 ",166.015
23-dic,"$962,55 ",160.874
24-dic,"$960,39 ",160.513
25-dic,"$981,92 ",164.111
26-dic,"$958,73 ",160.235
27-dic,"$990,13 ",165.483
28-dic,"$986,28 ",164.840
29-dic,"$963,42 ",161.019
30-dic,"$980,56 ",163.884
31-dic,"$980,75 ",163.916
1-ene,"$944,54 ",157.864
2-ene,"$990,96 ",165.622
3-ene,"$967,89 ",161.766
4-ene,"$986,54 ",164.883
5-ene,"$957,14 ",159.970
6-ene,"$990,55 ",165.554
7-ene,"$961,15 ",160.640
8-ene,"$939,17 ",156.966
9-ene,"$991,12 ",165.649
10-ene,"$943,85 ",157.749
11-ene,"$957,09 ",159.961
12-ene,"$993,72 ",166.083
13-ene,"$993,75 ",166.088
14-ene,"$971,85 ",162.428
15-ene,"$975,24 ",162.995
16-ene,"$964,59 ",161.215
17-ene,"$955,58 ",159.709
18-ene,"$957,64 ",160.053
19-ene,"$977,60 ",163.389
20-ene,"$982,24 ",164.165
21-ene,"$984,51 ",164.544
22-ene,"$984,40 ",164.526
23-ene,"$943,85 ",157.749
24-ene,"$967,26 ",161.661
25-ene,"$941,89 ",157.421
26-ene,"$970,46 ",162.196
27-ene,"$964,19 ",161.148
28-ene,"$990,10 ",165.478
29-ene,"$958,93 ",160.269
30-ene,"$945,35 ",157.999
31-ene,"$946,85 ",158.250
